file,experiment,pretrained_here,target_block,n_features,target_kind,loss,dropout_fraction,corpus,seed,source,sha256,bytes
flavors/osmordred__s42.pt,flavor sweep,yes,osmordred 2D descriptors,3580,continuous,MSE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/osmordred__s42,851cb23c2ea81b8fefa73d50b873cff50ffd971bdc443cba6f5f7864097050db,34859841
flavors/rdkit2d__s42.pt,flavor sweep,yes,RDKit 2D descriptors,200,continuous,MSE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/rdkit2d__s42,538a054f6fa1d3b80d296ac999ec7fb8ea614d398d4774fb65fb1611f2a9a131,34859821
flavors/erg__s42.pt,flavor sweep,yes,extended reduced-graph pharmacophore,315,continuous,MSE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/erg__s42,439be4d74b7bf0fe674c92fa7f827f3b1d1429b5bcd1d6b2e618cfc9bba52c6c,34859781
flavors/ecfp__s42.pt,flavor sweep,yes,ECFP4 fingerprint bits,2048,binary,BCE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/ecfp__s42,28b92750f5b12744f3da9b7fef4fa0f9c5a28a1dae2bb2dc5337f62d8173c557,34859791
flavors/atompair__s42.pt,flavor sweep,yes,atom-pair fingerprint bits,2048,binary,BCE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/atompair__s42,767c9308b67b07e040f9874f740e3ac87b7d4c75842c0e4ff772568e052759c0,34859831
flavors/pubchem__s42.pt,flavor sweep,yes,PubChem key bits,881,binary,BCE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/pubchem__s42,5363a13b8c1399abb1aa412fe53cee89678f21d4bf3152ae9309adb7f517aa32,34859821
flavors/usrcat__s42.pt,flavor sweep,yes,USRCAT shape descriptors,60,continuous,MSE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/usrcat__s42,00383f5a68beedb6a32df37809d490f439400f5d9d993e82e09d96490731b0cd,34859811
flavors/whim__s42.pt,flavor sweep,yes,WHIM 3D descriptors,114,continuous,MSE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/whim__s42,9b7f37f6a5ee2d1863134d03e6a42e0016801669e3c97262027fc13479811cb9,34859791
flavors/e3fp__s42.pt,flavor sweep,yes,E3FP 3D fingerprint bits,1024,binary,BCE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/e3fp__s42,61a3c78869f9e2b2732d4bc255be6bf8a0dd13a76b2108205b3e3423ba861f65,34859791
flavors/jazzy__s42.pt,flavor sweep,yes,jazzy hydration-energy and H-bond strengths,6,continuous,MSE,0.0,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/jazzy__s42,a4e94d2f560af9784fa8a07c1a0431468648a75093431454c671a660b8ce4af4,34859801
flavors/minimol__s42.pt,flavor sweep,yes,Minimol learned embeddings,512,continuous,MSE,0.85,"corpus_full.parquet (944,296 molecules)",42,sarizard/pretraining/runs/minimol__s42,53466446e4301b7e22a2ed07b546ea58b205fd5739e7b849ff23b174a14e3f7a,34859821
flavors/surrogate_adme__s42.pt,flavor sweep,yes,25 Novartis ADME model predictions,25,continuous,MSE,0.0,Novartis surrogate-ADME corpus (not the shared corpus),42,sarizard/pretraining/runs/surrogate_adme__s42,924b61bc3778266669663db079f547c8d982f1af0e07b9936767d5a91da97f0e,34859955
