Internal ID,Vendor ID,SMILES,CollectionName,LOG HLM_CLint (mL/min/kg),LOG_MDR1,LOG_SOL,LOG PLASMA PROTEIN BINDING (HUMAN) (% unbound),LOG PLASMA PROTEIN BINDING (RAT) (% unbound),LOG RLM_CLint (mL/min/kg),OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY,LOG_CLint_HLM,LOG_CLint_RLM,CLint_HLM,CLint_RLM
Mol1,317714313,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,emolecules,0.675686709,1.493167369,0.089905111,0.991226076,0.51851394,1.392169149,CNC1=CC(NC2=CC=CN(C3=CC=CC=N3)C2=O)=NN2C(C(=O)N[C@@H]3C[C@@H]3F)=CN=C12,YITUGUNLCGLOII-GXTWGEPZSA-N,0.675686709,1.392169149,4.73900000328012,24.669999972180666
Mol2,324056965,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,emolecules,0.675686709,1.040780099,0.550228353,0.099680641,0.268343914,1.027920136,CCOC1=CC2=NN(CCC(C)(C)O)C=C2C=C1NC(=O)C1=CC=CC(C(F)F)=N1,QPGKFAVCLFYJMW-UHFFFAOYSA-N,0.675686709,1.027920136,4.73900000328012,10.66399999003561
Mol3,304005766,CN(c1ncc(F)cn1)[C@H]1CCCNC1,emolecules,0.675686709,-0.358805917,,2.0,2.0,1.027920136,CN(C1=NC=C(F)C=N1)[C@H]1CCCNC1,CYOVWTVZQCOKKK-VIFPVBQESA-N,0.675686709,1.027920136,4.73900000328012,10.66399999003561
Mol4,194963090,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,emolecules,0.675686709,1.02666239,1.657055853,-1.158015195,-1.403402904,1.027920136,CC(C)(OC1=CC=C(C2=CN=C(N)C(C3=CC=C(Cl)C=C3)=C2)C=C1)C(=O)O,BYWYWLKBKIJAAJ-UHFFFAOYSA-N,0.675686709,1.027920136,4.73900000328012,10.66399999003561
Mol5,324059015,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,emolecules,0.996380313,1.010596548,,1.015611205,1.092264361,1.629093448,CC(C)(O)CCN1C=C2C=C(NC(=O)C3=CC=CC(C(F)(F)F)=N3)C(C(C)(C)O)=CC2=N1,NWFPCWIBSBZRGV-UHFFFAOYSA-N,0.996380313,1.629093448,9.91699999467014,42.56899998365718
Mol6,316230505,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,emolecules,1.397348966,0.860625544,1.033423755,0.163856803,-0.639532816,2.376374361,CC#CC(=O)N[C@H]1CCCN(C2=C(F)C=C(C(N)=O)C3=C2C(C)=C(C)N3)C1,VJPPLCNBDLZIFG-ZDUSSCGKSA-N,1.397348966,2.376374361,24.96599998984843,237.8890001634379
Mol7,299985775,CC(C)NCC(O)COc1cccc2ccccc12,emolecules,1.327231598,-0.162401489,,,1.347759218,3.318275952,CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12,AQHHHDLHHXJYJD-UHFFFAOYSA-N,1.327231598,3.318275952,21.243770352439487,2081.0185524519784
Mol8,538570,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,emolecules,1.458063445,2.091561417,,-0.91721463,-0.943095149,2.72806226,COC1=CC=C(Cl)C=C1C(=O)NCCC1=CC=C(S(=O)(=O)NC(=O)NC2CCCCC2)C=C1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,1.458063445,2.72806226,28.711999978501535,534.6409994745036
Mol9,EN300-97039,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,enamineBB_pmc,2.7565,0.72516,0.93399,0.62603,-0.35853,3.2433,C=CC(=O)N1CCC[C@@H](N2N=C(C3=CC=C(OC4=CC=CC=C4)C=C3)C3=C(N)N=CN=C32)C1,XYFPWWZEPKGCCK-GOSISDBHSA-N,2.7565,3.2433,570.8210761718673,1751.055857478778
Mol10,44811418,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,emolecules,1.630824356,1.301828955,,-1.384078213,-0.504455662,3.192741081,CC(C)NC(=O)COC1=CC=CC(C2=NC(NC3=CC=C4NN=CC4=C3)=C3C=CC=CC3=N2)=C1,GKHIVNAUVKXIIY-UHFFFAOYSA-N,1.630824356,3.192741081,42.73899996093009,1558.6230011949335
