OPENADMET_INCHIKEY,LOG_CLint_HLM,CLint_HLM,LOG_CLint_RLM,CLint_RLM,LOG_CLint_MLM,CLint_MLM,OPENADMET_CANONICAL_SMILES
AAAOMBVYTJLJQO-SFTDATJTSA-N,,,,,1.4983105537896004,31.5,CCN1C(=O)[C@@H](NC(=O)C2=CSC(C(F)(F)F)=N2)[C@@H](C2=CC=C(F)C=C2)C2=C1N(C1=CC=CC=C1)N=C2C
AAAPJPRRMCROHP-UHFFFAOYSA-N,1.2442771208018428,17.55,,,,,COC(=O)N1CCC(N2C(=O)N(CC3=NC(C)=C(C)N3CCCCO)C3=CN=CC=C32)CC1
AAAPQZDYNWUVQA-UHFFFAOYSA-N,2.3138672203691533,206.0,,,,,CCOCC(=O)NC1CCCOC2=C(C3=CC=C(Cl)C=C3)N(C3=CC=CC=C3Cl)N=C21
AAAQFGUYHFJNHI-GOSISDBHSA-N,1.1281277498081164,13.4316,,,,,CCNC(=O)C[C@H]1N=C(C2=CC=C(Cl)C=C2)C2=CC(OC)=CC=C2N2C(C)=NN=C12
AAAQFGUYHFJNHI-SFHVURJKSA-N,0.9332898363872897,8.576100000000002,0.41664050733828095,2.61,0.3170076359947513,2.0749500000000003,CCNC(=O)C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C2=CC(OC)=CC=C2N2C(C)=NN=C12
AABRILTZMFCPOO-KZNAEPCWSA-N,,,,,2.0718820073061255,118.0,ON=C(O)[C@@H]1[C@H](C2=CC=CC=C2)[C@H]1C1=CC=C2OC(C3CC3)=NC2=C1
AADIDHFXTKJENY-UHFFFAOYSA-N,,,1.6031443726201824,40.1,,,CN1N=CC2=CC(NC3=C4N=CC=CC4=NN3)=CC=C21
AADNCCSXBAVIDD-UHFFFAOYSA-N,-0.8178707859470016,0.1521,,,,,CCOC(=O)C1=C(C#CCCCC(=O)O)N=C(C2=CC=CC(F)=C2)S1
AADZRZOWFKIFTL-UHFFFAOYSA-N,,,,,2.6458102098773817,442.395,CC(O)(C1=CC=C(S(=O)(=O)C2SC(N3CCCCC3)=NC2C(F)(F)F)C=C1)C(F)(F)F
AAFSIPPWGBQMKB-UHFFFAOYSA-N,1.0725072355288041,11.817,,,,,C1=CN=C(NC2=NC=NC3=CC=C(C4=NC=CC(N5CCOCC5)=N4)C=C23)N=C1
AAGGRTPMBWISNV-UHFFFAOYSA-N,0.28302970979385955,1.9188,,,1.0882761039404107,12.25395,CN1CCN(C2=NC3=NC=C(Br)C=C3N3C=NN=C23)CC1
