CXSMILES,Molecule Name,Set,pIC50_MERS_Mpro,pIC50_SARS2_Mpro,SMILES_CLEAN,OPENADMET_CANONICAL_SMILES
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1(F)F |&1:1|,ASAP-0029699,Train,5.01,5.4,C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1(F)F,C[C@H]1CCN(C(=O)Cc2cncc3ccccc23)CC1(F)F
CC1=CC=C(CN2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C=C1,ASAP-0012347,Train,4.32,,CC1=CC=C(CN2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C=C1,Cc1ccc(CN2CCCN(C(=O)Cc3cncc4ccccc34)CC2)cc1
CC1=C(NC(=O)[C@H](CB2OC(C)(C)C(C)(C)O2)NC(=O)OC(C)(C)C)C=CC(Br)=C1Cl |&1:6|,ASAP-0011142,Train,6.94,,CC1=C(NC(=O)[C@H](CB2OC(C)(C)C(C)(C)O2)NC(=O)OC(C)(C)C)C=CC(Br)=C1Cl,Cc1c(NC(=O)[C@H](CB2OC(C)(C)C(C)(C)O2)NC(=O)OC(C)(C)C)ccc(Br)c1Cl
CC1=CC([C@H]2CCCN2C(=O)C2=CN=CC3=CC=CC=C23)=CC=N1 |&1:4|,ASAP-0008247,Train,4.16,,CC1=CC([C@H]2CCCN2C(=O)C2=CN=CC3=CC=CC=C23)=CC=N1,Cc1cc([C@H]2CCCN2C(=O)c2cncc3ccccc23)ccn1
CNC(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:4|,ASAP-0031918,Train,4.22,,CNC(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,CNC(=O)[C@H]1CCCN(C(=O)Cc2cncc3ccccc23)C1
"C[C@H](CO)C[C@H]1CN(C(=O)CO)CCN1CC1=CC=CC(Cl)=C1 |&1:1,&2:5|",ASAP-0011250,Train,8.62,,C[C@H](CO)C[C@H]1CN(C(=O)CO)CCN1CC1=CC=CC(Cl)=C1,C[C@H](CO)C[C@H]1CN(C(=O)CO)CCN1Cc1cccc(Cl)c1
"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=C(C(F)(F)F)S1 |a:9,32|",ASAP-0031398,Train,7.22,7.34,O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=C(C(F)(F)F)S1,O=C1c2ccc(Cl)cc2[C@@]2(CN1Cc1cc[nH]n1)C(=O)N(c1cncc3ccccc13)C[C@@H]2CNc1nnc(C(F)(F)F)s1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCCO2)CC1,ASAP-0029673,Train,,5.24,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCCO2)CC1,O=C(Cc1cncc2ccccc12)N1CCC2(CCCCO2)CC1
O=C1N[C@]2(C[C@H](C3=CC=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,ASAP-0000241,Train,4.71,6.69,O=C1N[C@]2(C[C@H](C3=CC=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,O=C1N[C@]2(C[C@H](c3ccccc3)C2)C(=O)N1c1cncc2ccccc12
O=C(NCC1=NC=CN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12,ASAP-0000844,Train,4.17,,O=C(NCC1=NC=CN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12,O=C(NCc1nccn1-c1ccccc1)c1cncc2ccccc12
